Model,Accuracy,Precision,Recall,F1 Score,Run time(m)
Random Forest,0.9997826086956522,1.0,0.9997160905671091,0.999858025129552,10
XGBoost,0.9997826086956522,1.0,0.9997160905671091,0.999858025129552,2
